RoboHatters Red,4403
RoboHatters Black,4404
RoboHatters Grey,4405
RoboHatters Blue,11113
Cruzin' Comets White,66442
Cruzin' Comets Blue,45032
Corpus Christi,74053
Bricktastic Builders,67393
RoboHuskies,66313
OLGC Cougears,60387
LC Robotics Green,32382
LC Robotics Gold,32383
Saint Luke Blue,71108
Saint Luke Gold,60147
Reynolds Robot Raiders,61191
Reading SWMS Robotics Team,65222
St. Jude Robotics -Alpha,62298
St. Jude Robotics Beta,62299
St. Jude Robotics Gamma,62300
Clankers,74588
Titan Tech,61485
Cryptobots,61197
WIRED WARRIORS,70512
Spark Squad,73356
Visi-Bots,65257
TOBOR Red,5230
Robotic Wolves,60879
Quaking In Our Bots,65064
Sauce Soldiers,60357
ORCA,72046
